-0.1	m20000	0	-0.1	m40000	0	-0.0001	m20000	0	-0.0001	m40000	0
-0.1	m20000	m100000	-0.1	m40000	m100000	-0.0001	m20000	m100000	-0.0001	m40000	m100000
-0.1	m27000	0	-0.1	m33000	0	-0.0001	m27000	0	-0.0001	m33000	0
-0.1	m27000	m100000	-0.1	m33000	m100000	-0.0001	m27000	m100000	-0.0001	m33000	m100000
-0.1	m40000	0	-0.1	m55000	0	-0.0001	m40000	0	-0.0001	m55000	0
-0.1	m40000	m100000	-0.1	m55000	m100000	-0.0001	m40000	m100000	-0.0001	m55000	m100000
-0.1	m45000	0	-0.1	m50000	0	-0.0001	m45000	0	-0.0001	m50000	0
-0.1	m45000	m100000	-0.1	m50000	m100000	-0.0001	m45000	m100000	-0.0001	m50000	m100000
-0.1	m55000	0	-0.1	m160000	0	-0.0001	m55000	0	-0.0001	m160000	0
-0.1	m55000	m100000	-0.1	m160000	m100000	-0.0001	m55000	m100000	-0.0001	m160000	m100000

